# Coverage record of the local audit (C99-MINIX-PORT 14.1; summary in ADR-006 7).
# Columns: pattern<TAB>surface<TAB>disposition<TAB>reviewed git blob or -<TAB>scope or reason.
# REVIEWED and PARTIAL rows are exact paths with the git blob that was reviewed and take
# precedence; otherwise the first matching pattern wins (* also matches /). DATA needs a
# reviewed producer or consumer. Checked by tools/test_audit_coverage.sh, which fails when
# a file has no row, a rule is malformed or duplicated, a literal row names an untracked path, or a reviewed file changed.
src/wire/binary_codec.c	c99-product	REVIEWED	17ccaed7fc0b6dfbdcfc70c6efd981dda5823665	ADR-006 audit with its independent pre-commit and final-diff reviews, 2026-09-25: bounds, arithmetic, lifetime and failure paths
include/determ/wire/binary_codec.h	c99-product	REVIEWED	9bd958852c5ab3f1195343c585db061636404fcc	ADR-006 audit with its independent pre-commit and final-diff reviews, 2026-09-25: bounds, arithmetic, lifetime and failure paths
src/wire/json_token.c	c99-product	REVIEWED	0aa97d9447382bfbcc404a0700fb3ef10c0ebd66	ADR-006 audit with its independent pre-commit and final-diff reviews, 2026-09-25: bounds, arithmetic, lifetime and failure paths
include/determ/wire/json_token.h	c99-product	REVIEWED	077498e4ef0b956eb5d83e10ca561578209f5d13	ADR-006 audit with its independent pre-commit and final-diff reviews, 2026-09-25: bounds, arithmetic, lifetime and failure paths
src/rpc/json_rpc.c	c99-product	REVIEWED	d72f21d4b56f149e4ca24049c1ef183c60f6e627	ADR-006 audit with its independent pre-commit and final-diff reviews, 2026-09-25: bounds, arithmetic, lifetime and failure paths
include/determ/rpc/json_rpc.h	c99-product	REVIEWED	114989d286b60f26ed0f1b270691ddc404296122	ADR-006 audit with its independent pre-commit and final-diff reviews, 2026-09-25: bounds, arithmetic, lifetime and failure paths
src/rpc/http_rpc_server.c	c99-product	REVIEWED	cbde8442e6d2adb3bdf45d5c704234f1a5615d49	ADR-006 audit with its independent pre-commit and final-diff reviews, 2026-09-25: bounds, arithmetic, lifetime and failure paths
include/determ/rpc/http_rpc_server.h	c99-product	REVIEWED	38da08e0d5282dcab65126ae262cd2cd8ddf605a	ADR-006 audit with its independent pre-commit and final-diff reviews, 2026-09-25: bounds, arithmetic, lifetime and failure paths
src/net/reactor.c	c99-product	REVIEWED	eed853d9bd3b85a97e8aa04377b0f062e39f82d0	ADR-006 audit with its independent pre-commit and final-diff reviews, 2026-09-25: bounds, arithmetic, lifetime and failure paths
include/determ/net/reactor.h	c99-product	REVIEWED	b9bbdda936bc4c8fdcbade2bec88a28c8f70b28f	ADR-006 audit with its independent pre-commit and final-diff reviews, 2026-09-25: bounds, arithmetic, lifetime and failure paths
src/net/peer_mesh.c	c99-product	REVIEWED	e15f10b6436d4593456ff793f015e07a0524e5e9	ADR-006 audit with its independent pre-commit and final-diff reviews, 2026-09-25: bounds, arithmetic, lifetime and failure paths
include/determ/net/peer_mesh.h	c99-product	REVIEWED	6de60073b53ac3f692984df1af4913425ac4eb84	ADR-006 audit with its independent pre-commit and final-diff reviews, 2026-09-25: bounds, arithmetic, lifetime and failure paths
src/net/k2_net.c	c99-product	REVIEWED	b4364dddb25fd5799fc9bae4f96e5bcc0ce80042	ADR-006 audit with its independent pre-commit and final-diff reviews, 2026-09-25: bounds, arithmetic, lifetime and failure paths
include/determ/net/k2_net.h	c99-product	REVIEWED	e0c102fc63f1df8030f04a2a747fffe0cc235b68	ADR-006 audit with its independent pre-commit and final-diff reviews, 2026-09-25: bounds, arithmetic, lifetime and failure paths
tests/test_c99_codec_bounds.c	tests	REVIEWED	829ef0a5728a5632ac89ae783f6e31519aefb0e9	ADR-006 audit with its independent pre-commit and final-diff reviews, 2026-09-25: bounds, arithmetic, lifetime and failure paths
tests/test_c99_crypto_bounds.c	tests	REVIEWED	6c61d9bb0902db546fad518becf1acdfed55c28c	ADR-006 audit with its independent pre-commit and final-diff reviews, 2026-09-25: bounds, arithmetic, lifetime and failure paths; heap-free HMAC-SHA-256/HKDF/PBKDF2 change reviewed 2026-09-25; streaming SHA-512 and heap-free HMAC-SHA-512 change reviewed 2026-09-25
tests/test_c99_storage_safety.c	tests	REVIEWED	98a5b9a202789c0dcf63d77e17dc31ad94a12c62	R1-01/R1-02 storage gate with its independent pre-commit review, 2026-09-25: interceptor soundness, assertions at the store boundary, cleanup
tests/test_c99_http_safety.c	tests	REVIEWED	5f98c2be3daa7fbc2a3ead03bfae8c91334f06e2	ADR-006 audit with its independent pre-commit and final-diff reviews, 2026-09-25: bounds, arithmetic, lifetime and failure paths
tests/test_c99_network_safety.c	tests	REVIEWED	8561fc256e2a21df03a7dfb717c49dab3adbdc9b	ADR-006 audit with its independent pre-commit and final-diff reviews, 2026-09-25: bounds, arithmetic, lifetime and failure paths
tests/test_http_rpc.c	tests	REVIEWED	b3c9f5bffa10a3d00bf6ab949b93d4011306e1fd	ADR-006 audit with its independent pre-commit and final-diff reviews, 2026-09-25: bounds, arithmetic, lifetime and failure paths
src/consensus/stake_quorum.c	c99-product	REVIEWED	c86bf8496e1b18f8b37f4db0243503b336534284	stake_quorum qualification with two independent reviewers, 2026-09-24 (C99-MINIX-PORT 13.1)
